	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	712	656	646545	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
seq2	61760	207703	25391	239494	25698	24228	11771	0	0	4909	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq3	0	0	0	0	0	199	164459	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq4	0	0	0	0	508	0	0	0	0	0	0	0	0	0	0	137004	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	
seq5	21474	0	0	2606	5383	2557	17465	0	0	14929	0	0	0	21347	18093	13009	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	viridis
seq6	0	0	0	0	0	0	14120	6276	0	88150	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	rectivirgula
seq7	2135	0	0	3981	0	0	0	0	0	0	0	0	0	0	99058	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	rectivirgula
seq8	7923	0	40437	0	38938	9939	2210	446	1349	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	fusca
seq9	36608	5447	17006	6762	17424	3137	0	4542	0	2950	0	0	0	0	3515	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Novibacillus	thermophilus
seq10	0	0	0	0	0	0	0	0	0	0	0	125	0	83203	4907	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq11	9819	16422	11942	20454	12905	4584	698	0	844	437	0	0	755	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq12	8661	12712	0	15133	406	0	3947	0	0	13671	0	0	0	0	16183	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq13	0	0	11758	1102	8037	0	3041	0	0	20888	0	0	0	0	25331	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq14	45841	0	0	0	0	0	0	0	0	0	0	0	221	19003	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Sinibacillus	
seq15	0	0	0	0	0	0	0	0	0	0	0	0	0	63976	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	
seq16	0	11370	46	12504	0	28	0	0	0	18480	0	0	0	0	21208	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Nosocomiicoccus	
seq17	0	16391	0	21015	0	0	0	0	0	12218	32	0	0	0	13863	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq18	0	0	971	16601	911	11637	22393	0	0	6423	0	118	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Sinibacillus	
seq19	483	4771	0	4661	0	0	3854	0	0	17407	0	61	0	0	22482	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Hathewaya	limosa
seq20	0	0	17856	0	19254	0	675	0	0	331	0	0	0	0	0	13367	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Thermoactinomyces	vulgaris
seq21	0	0	15278	0	15533	0	4555	0	0	0	0	0	0	0	7072	2202	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq22	0	0	0	0	0	0	0	0	2786	0	0	0	0	0	0	41581	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq23	0	0	0	0	0	0	0	0	0	0	0	0	0	10648	454	31839	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae	Thermobifida	fusca
seq24	0	12907	0	0	0	0	0	1551	0	0	0	0	0	0	7625	19361	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Sinibacillus	
seq25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41218	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq26	0	0	19576	0	20315	0	0	0	0	686	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq27	0	0	0	0	0	0	11196	0	0	12162	0	0	0	0	15202	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	
seq28	0	0	14514	0	0	0	0	22305	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	
