Feature ID	Taxon
seq1	Bacteria; Firmicutes; Bacilli; Bacillales; Listeriaceae; Listeria; none
seq2	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq3	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq4	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; none
seq5	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharomonospora; viridis
seq6	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq7	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq8	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; fusca
seq9	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; thermophilus
seq10	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq11	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq12	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq13	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; none; none
seq14	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; none
seq15	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Lentibacillus; none
seq16	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Nosocomiicoccus; none
seq17	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq18	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; none
seq19	Bacteria; Firmicutes; Clostridia; Clostridiales; Clostridiaceae_1; Hathewaya; limosa
seq20	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; vulgaris
seq21	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq22	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq23	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; fusca
seq24	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; none
seq25	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq26	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq27	Bacteria; Actinobacteria; Actinobacteria; Streptomycetales; Streptomycetaceae; Streptomyces; none
seq28	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; none
seq29	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq30	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; thermoruber
seq31	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq32	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldibacillus; debilis
seq33	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Micrococcaceae; Enteractinococcus; none
seq34	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; thermoruber
seq35	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; thermophilus
seq36	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; urealyticum
seq37	Bacteria; Proteobacteria; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; none
seq38	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; caeni
seq39	Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; none; none
seq40	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Cerasibacillus; quisquiliarum
seq41	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq42	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Lentibacillus; none
seq43	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Caldibacillus; none
seq44	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; composti
seq45	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; amycolatum
seq46	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq47	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Brevibacillus; none
seq48	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq49	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; avium
seq50	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; urealyticum
seq51	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; none; none
seq52	Bacteria; Proteobacteria; Gammaproteobacteria; none; none; none; none
seq53	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq54	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; composti
seq55	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq56	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq57	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; none
seq58	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq59	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Geobacillus; none
seq60	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Aneurinibacillus; thermoaerophilus
seq61	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq62	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq63	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq64	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; none; none
seq65	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq66	Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Longispora; none
seq67	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq68	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; none
seq69	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq70	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; thermophilus
seq71	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; fusca
seq72	Bacteria; Firmicutes; Bacilli; none; none; none; none
seq73	Bacteria; Actinobacteria; Acidimicrobiia; Actinomarinales; none; none; none
seq74	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq75	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Thermoactinomyces; intermedius
seq76	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharomonospora; glauca
seq77	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; none; none
seq78	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq79	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharomonospora; viridis
seq80	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; fusca
seq81	Bacteria; Firmicutes; Bacilli; Bacillales; none; none; none
seq82	Bacteria; Proteobacteria; Alphaproteobacteria; Rhizobiales; Hyphomicrobiaceae; none; none
seq83	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq84	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharopolyspora; rectivirgula
seq85	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Novibacillus; none
seq86	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Cerasibacillus; quisquiliarum
seq87	Bacteria; Firmicutes; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus; none
seq88	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Cerasibacillus; none
seq89	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; thermoresistibile
seq90	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Virgibacillus; none
seq91	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq92	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; fusca
seq93	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Pseudogracilibacillus; none
seq94	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq95	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; none
seq96	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq97	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq98	Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; none; none
seq99	Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Saccharomonospora; glauca
seq100	Bacteria; Firmicutes; none; none; none; none; none
seq101	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq102	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq103	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Shimazuella; none
seq104	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; fusca
seq105	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; none
seq106	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq107	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Cohnella; none
seq108	Bacteria; Actinobacteria; Actinobacteria; Streptosporangiales; Nocardiopsaceae; Thermobifida; none
seq109	Bacteria; Proteobacteria; Deltaproteobacteria; Myxococcales; BIrii41; none; none
seq110	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Bacillus; none
seq111	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Cerasibacillus; quisquiliarum
seq112	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq113	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; stationis
seq114	Bacteria; Firmicutes; Limnochordia; Limnochordales; Limnochordaceae; none; none
seq115	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq116	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Corynebacteriaceae; Corynebacterium_1; stationis
seq117	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq118	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq119	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Sinibacillus; soli
seq120	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq121	Bacteria; Chloroflexi; Chloroflexia; Thermomicrobiales; JG30-KF-CM45; none; none
seq122	Bacteria; Firmicutes; Bacilli; Bacillales; Thermoactinomycetaceae; Planifilum; none
seq123	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; thermoresistibile
seq124	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; Oceanobacillus; caeni
seq125	Bacteria; Actinobacteria; Actinobacteria; Corynebacteriales; Mycobacteriaceae; Mycobacterium; thermoresistibile
seq126	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq127	Bacteria; Firmicutes; Bacilli; Bacillales; Bacillaceae; none; none
seq128	Bacteria; Actinobacteria; Actinobacteria; Micrococcales; Brevibacteriaceae; Brevibacterium; none
seq129	Bacteria; Firmicutes; Bacilli; Bacillales; Paenibacillaceae; Ammoniibacillus; agariperforans
